"id","business_name","status","address_id","version","created_date","modified_date","created_by","modified_by","reference","blocked","image_id","online_ordering_allowed","delivery_allowed","promo_code","message","timezone","delivery_type","doordash_allowed","pickup_instructions","announcement","business_name_without_spaces","menu_categories","delivery_only","money_flow","fee_categories","type","fulfillment_options","restaurant_categories","website_url","position","location_position","group_id","nash_allowed","tax_rates","lead_gen_one","lead_gen_two","delivery_order_time_windows","enable_menu_search","shipday_enabled"
24,"Sethji's","ACCEPTED","38",14,"2021-06-01 01:19:55.979+00","2024-03-22 09:51:41.7+00","peter@familymeal.com",NULL,"8c4f6656-9a25-4b17-9eac-be6a6b124e33",True,"267",True,True,"d029af133ed1ecdafdb62ab55b9b59fd",NULL,"America/New_York","NASH_DELIVERY",True,"Curbside only. Please come to the door and text 774-469-0221 and I will bring your order out!",NULL,"Sethji's",NULL,True,"DIRECT",NULL,"ORDERING","[ ""PICKUP"", ""DELIVERY"" ]","[ ""EVENT"", ""HOLIDAY"", ""MEAL_PREP"", ""WHOLESALE"", ""EXCLUSIVES"", ""OFFICE"", ""POP_UP"", ""PRIVATE_CHEF"", ""SUBSCRIPTIONS"" ]",NULL,NULL,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 7,
    ""fixedAmount"" : null,
    ""types"" : [ ""DELIVERY"", ""PICKUP"" ]
  }
}",15,3,"exact",False,False
25,"Skeleton Hill Provisions","PENDING","39",10,"2021-06-03 17:32:25.829+00","2024-03-22 09:51:41.702+00","peter@familymeal.com",NULL,"dad8ca70-3c8d-4b05-bf57-6f531c4dfcc4",True,NULL,False,True,"235fe93147a0e5f2746b2a77408fce1c",NULL,"America/New_York","OWN_DELIVERY",False,NULL,NULL,"SkeletonHillProvisions",NULL,False,"DIRECT",NULL,"ORDERING","[ ""PICKUP"" ]","[ ""EVENT"", ""HOLIDAY"", ""MEAL_PREP"", ""WHOLESALE"", ""EXCLUSIVES"", ""OFFICE"", ""POP_UP"", ""PRIVATE_CHEF"", ""SUBSCRIPTIONS"" ]",NULL,NULL,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""DELIVERY"", ""PICKUP"" ]
  }
}",15,3,"exact",False,False
27,"Cook Collective","PENDING","41",10,"2021-06-10 02:00:54.757+00","2024-03-22 09:51:41.7+00","matthew@familymeal.com",NULL,"929804ce-5df9-4737-81c5-0d9752ba1440",True,NULL,False,True,"27bb72a0417c229f59eaf3e69aa21a4","","America/New_York","OWN_DELIVERY",False,NULL,NULL,"CookCollective",NULL,False,"DIRECT",NULL,"ORDERING","[ ""PICKUP"" ]","[ ""EVENT"", ""HOLIDAY"", ""MEAL_PREP"", ""WHOLESALE"", ""EXCLUSIVES"", ""OFFICE"", ""POP_UP"", ""PRIVATE_CHEF"", ""SUBSCRIPTIONS"" ]",NULL,NULL,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""DELIVERY"", ""PICKUP"" ]
  }
}",15,3,"exact",False,False
28,"Tulsi Kitchen","PENDING","42",10,"2021-06-10 20:30:37+00","2024-03-22 09:51:41.705+00","matthew@familymeal.com",NULL,"a32f8737-fb0b-4c9c-a0ac-379136e22062",True,NULL,False,True,"765f4741de7c175bfa564467178d2e7",NULL,"America/New_York","OWN_DELIVERY",False,NULL,NULL,"TulsiKitchen",NULL,False,"DIRECT",NULL,"ORDERING","[ ""PICKUP"" ]","[ ""EVENT"", ""HOLIDAY"", ""MEAL_PREP"", ""WHOLESALE"", ""EXCLUSIVES"", ""OFFICE"", ""POP_UP"", ""PRIVATE_CHEF"", ""SUBSCRIPTIONS"" ]",NULL,NULL,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""DELIVERY"", ""PICKUP"" ]
  }
}",15,3,"exact",False,False
29,"I'm A Local Beach House Cafe","PENDING","43",34,"2021-06-14 18:21:22.795+00","2025-09-30 18:18:56.115+00","matthew@familymeal.com","peter@familymeal.com","1bd57484-26da-4b1b-a7e6-8a1c336ae5ee",True,"3470",False,True,"1fc3401dde3edfda43983c6b9881be9",NULL,"America/New_York","OWN_DELIVERY",True,NULL,"Pre-orders now available!","imalocal","[ {
  ""menuCategoriesType"" : ""MEAL_PACKAGES"",
  ""displayMenuCategoriesName"" : ""Menu""
}, {
  ""menuCategoriesType"" : ""SUBSCRIPTIONS"",
  ""displayMenuCategoriesName"" : ""Subscriptions""
}, {
  ""menuCategoriesType"" : ""CLASSICS"",
  ""displayMenuCategoriesName"" : ""Menu (2)""
} ]",False,"DIRECT",NULL,"ORDERING","[ ""PICKUP"" ]","[ ""POP_UP"", ""EVENT"", ""EXCLUSIVES"", ""PRIVATE_CHEF"", ""HOLIDAY"", ""MEAL_PREP"" ]",NULL,NULL,NULL,NULL,False,"{
  ""stateSalesTax"" : {
    ""percent"" : 6.63,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""PICKUP"", ""DELIVERY"" ]
  }
}",15,3,"exact",False,False
30,"Karoly Test Restaurant","PENDING","46",10,"2021-06-21 16:33:22.793+00","2024-03-22 09:51:41.69+00","peter@familymeal.com",NULL,"ec289f91-c6c9-48bd-aa4e-41c26b382850",True,NULL,False,True,"30844b4715a1e0e99b2cefa7c39eed25",NULL,"America/New_York","OWN_DELIVERY",False,NULL,NULL,"KarolyTestRestaurant",NULL,False,"DIRECT",NULL,"ORDERING","[ ""PICKUP"" ]","[ ""EVENT"", ""HOLIDAY"", ""MEAL_PREP"", ""WHOLESALE"", ""EXCLUSIVES"", ""OFFICE"", ""POP_UP"", ""PRIVATE_CHEF"", ""SUBSCRIPTIONS"" ]",NULL,NULL,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""DELIVERY"", ""PICKUP"" ]
  }
}",15,3,"exact",False,False
33,"Aliza Sokolow","PENDING","52",10,"2021-06-23 19:00:41.335+00","2024-03-22 09:51:41.705+00","matthew@familymeal.com",NULL,"bb760e54-9385-46cd-b627-a82b5762132d",True,NULL,False,True,"98d3f31c9d96f644c97ff5e4272b52e",NULL,"America/New_York","OWN_DELIVERY",False,NULL,NULL,"AlizaSokolow",NULL,False,"DIRECT",NULL,"ORDERING","[ ""PICKUP"" ]","[ ""EVENT"", ""HOLIDAY"", ""MEAL_PREP"", ""WHOLESALE"", ""EXCLUSIVES"", ""OFFICE"", ""POP_UP"", ""PRIVATE_CHEF"", ""SUBSCRIPTIONS"" ]",NULL,NULL,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""DELIVERY"", ""PICKUP"" ]
  }
}",15,3,"exact",False,False
35,"Freedom at Home","PENDING","54",16,"2021-06-28 17:39:36.774+00","2024-03-22 09:51:41.698+00","peter@familymeal.com",NULL,"2342ebc1-3a3c-432f-a8ad-52957f01293f",True,"169",False,True,"4c2958f931bdfd61b43edc63c238850",NULL,"America/New_York","OWN_DELIVERY",False,NULL,NULL,"FreedomatHome",NULL,False,"DIRECT",NULL,"ORDERING","[ ""PICKUP"" ]","[ ""EVENT"", ""HOLIDAY"", ""MEAL_PREP"", ""WHOLESALE"", ""EXCLUSIVES"", ""OFFICE"", ""POP_UP"", ""PRIVATE_CHEF"", ""SUBSCRIPTIONS"" ]",NULL,NULL,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""DELIVERY"", ""PICKUP"" ]
  }
}",15,3,"exact",False,False
36,"50Kitchen","ACCEPTED","55",18,"2021-06-29 13:32:23.426+00","2024-03-22 09:51:41.703+00","peter@familymeal.com",NULL,"85d68a54-5c95-4eee-9c41-1d56e876d367",True,"258",True,True,"9d6b7c9a85566931ba165ad2a02896",NULL,"America/New_York","NASH_DELIVERY",True,NULL,"Orders must be placed by 4:00PM for same-day pickup and delivery..","50Kitchen",NULL,False,"DIRECT",NULL,"ORDERING","[ ""PICKUP"", ""DELIVERY"" ]","[ ""EVENT"", ""HOLIDAY"", ""MEAL_PREP"", ""WHOLESALE"", ""EXCLUSIVES"", ""OFFICE"", ""POP_UP"", ""PRIVATE_CHEF"", ""SUBSCRIPTIONS"" ]",NULL,NULL,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 6.25,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""DELIVERY"", ""PICKUP"" ]
  }
}",15,3,"exact",False,False
37,"Mei Mei","PENDING","59",20,"2021-07-20 21:51:31.744+00","2024-03-22 09:51:41.681+00","peter@familymeal.com",NULL,"2c487a93-9b26-4422-9534-a60f08d0fb1b",True,"192",True,True,"3716a0b68a8ffbe9efd0c395dee55afc",NULL,"America/New_York","OWN_DELIVERY",False,"Let staff know the order name upon arrival","Farm-Focused. Women-Owned.","MeiMei",NULL,False,"DIRECT",NULL,"ORDERING","[ ""PICKUP"" ]","[ ""EVENT"", ""HOLIDAY"", ""MEAL_PREP"", ""WHOLESALE"", ""EXCLUSIVES"", ""OFFICE"", ""POP_UP"", ""PRIVATE_CHEF"", ""SUBSCRIPTIONS"" ]",NULL,NULL,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""DELIVERY"", ""PICKUP"" ]
  }
}",15,3,"exact",False,False
38,"Sparky's Roadside Barbecue","PENDING","61",10,"2021-07-28 15:28:35.888+00","2024-03-22 09:51:41.705+00","peter@familymeal.com",NULL,"f9337c4f-d25e-413e-a66b-310132823a6e",True,NULL,False,True,"3a9b895af741211c4c9915821a7390",NULL,"America/New_York","OWN_DELIVERY",False,NULL,NULL,"Sparky'sRoadsideBarbecue",NULL,False,"DIRECT",NULL,"ORDERING","[ ""PICKUP"" ]","[ ""EVENT"", ""HOLIDAY"", ""MEAL_PREP"", ""WHOLESALE"", ""EXCLUSIVES"", ""OFFICE"", ""POP_UP"", ""PRIVATE_CHEF"", ""SUBSCRIPTIONS"" ]",NULL,NULL,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""DELIVERY"", ""PICKUP"" ]
  }
}",15,3,"exact",False,False
39,"Mida (Boston)","ACCEPTED","62",11,"2021-07-30 16:52:08.369+00","2024-03-22 09:51:41.699+00","peter@familymeal.com",NULL,"dce53593-7e91-4b26-84aa-dbfbdcb16bb0",True,NULL,False,True,"c0f784933c858a8d39dec0111963641",NULL,"America/New_York","OWN_DELIVERY",False,NULL,NULL,"MidaBoston",NULL,False,"DIRECT",NULL,"ORDERING","[ ""PICKUP"" ]","[ ""EVENT"", ""HOLIDAY"", ""MEAL_PREP"", ""WHOLESALE"", ""EXCLUSIVES"", ""OFFICE"", ""POP_UP"", ""PRIVATE_CHEF"", ""SUBSCRIPTIONS"" ]",NULL,NULL,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""DELIVERY"", ""PICKUP"" ]
  }
}",15,3,"exact",False,False
40,"AliBabka","PENDING","64",11,"2021-08-10 18:48:04.782+00","2024-03-22 09:51:41.698+00","peter@familymeal.com",NULL,"ad06921f-e947-4dba-a625-b2d1bd1e3189",True,NULL,False,True,"9c20ff976a356631856f43f4f04a18",NULL,"America/New_York","OWN_DELIVERY",False,"Text 15 minutes before arrival",NULL,"AliBabka",NULL,False,"DIRECT",NULL,"ORDERING","[ ""PICKUP"" ]","[ ""EVENT"", ""HOLIDAY"", ""MEAL_PREP"", ""WHOLESALE"", ""EXCLUSIVES"", ""OFFICE"", ""POP_UP"", ""PRIVATE_CHEF"", ""SUBSCRIPTIONS"" ]",NULL,NULL,NULL,NULL,True,"{
  ""stateSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""localSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null
  },
  ""otherSalesTax"" : {
    ""percent"" : 0,
    ""fixedAmount"" : null,
    ""types"" : [ ""DELIVERY"", ""PICKUP"" ]
  }
}",15,3,"exact",False,False
