name,fm_reference,slug,failing_condition,has_business_phone
Atlanta Bread - Sandy Springs,ddd811dc-d7b5-4db4-aadb-dac0ae641137,atlantabread-sandysprings,contact_phone,yes
Atlanta Bread - Smyrna,874c07a0-891a-4507-b3b7-c97e03057e79,atlantabread-smyrna,contact_phone,yes
Atlanta Bread - The Collection,d067a5f4-f48f-4eeb-a44b-abaed2800964,atlantabread-cumming,contact_phone,yes
Atlanta Bread - Woodstock,15c76426-0070-4ce2-a93a-237cf5d97516,atlantabread-woodstock,contact_phone,yes
Aunts et Uncles,1ef81e10-6153-4ef5-bf6a-ad2b9fc5e65d,auntsetuncles,contact_phone,yes
Backyard Bowls - Beverly Grove,15d3780d-9a25-4ecc-af25-2dffe9d92992,backyardbowls-la,contact_phone,yes
Barons Bagel's - Point Pleasant,171b5f5e-b8cc-4f51-9631-8bbff001f572,baronsbagels-pointpleasant,contact_phone,yes
Best Pizza - Williamsburg,f7c42fe3-e0c1-4a12-8525-b2a0124aa6cc,bestpizzawilliamsburg,contact_phone,yes
Binge Biryani - Long Island City,e1391394-dba4-4180-b216-f92a92b29950,bingebiryanilongislandcity,contact_phone,yes
Bird & Co.,08c8be73-be51-4856-906a-56b2a1b450c2,birdandco,contact_phone,yes
Black Seed Bagels,e270148b-0f5b-4714-ab87-70b4adcd7d3f,blackseedbagels,contact_phone,yes
Brooklyn Dumpling Shop - Midtown,1e2ee4f7-51bb-4e7b-bc29-6e0c23af7bb8,brooklyndumplingshopmidtown,contact_phone,yes
Brooklyn Dumpling Shop - UES,f1abc369-27cd-4a49-a432-0df5eacec420,brooklyndumplingshopues,contact_phone,yes
Brown Bag Sandwich Co,567a57eb-17b1-433c-bb46-48d7e373163e,brownbagsandwichco,contact_phone,yes
Bunny Chow - South African Food - Miramar Shebeen,84fd2401-8f00-41e6-afe5-01080a830c65,bunnychow-miramar,contact_phone,yes
Bunny Chow - South African Food - North Park Shebeen,0112c53e-1b89-4a39-91f5-9e6080d26d9d,bunnychow-northpark,contact_phone,yes
BurgerFi - Arlington,95339b04-6f1d-4c7a-ac35-4955a9dfd5c3,burgerfi-arlington,contact_phone,yes
BurgerFi - Falls Church,ca123d68-c04e-4edd-bc11-8d15f2fa45c1,burgerfi-fallschurch,contact_phone,yes
BurgerFi - Pompano Beach Pier,a96b77c2-9ffb-45fe-aa7a-22a86ce9b695,burgerfi-pompanobeach,contact_phone,yes
Cafe Landwer - Cleveland Circle,1c2df9c7-141d-40a8-a712-635e026f5155,cafelandwerclevelandcircle,contact_phone,yes
Chook - 8th Ave & Birch St,0199d197-15f4-4e41-9ab1-b1825569793d,chook-8thave,contact_phone,yes
Chook - Cherry Hills Marketplace,cf51babd-baa5-4c19-9054-4c9711625092,chook-cherryhills,contact_phone,yes
Colonial Ranch Market,ecf9bfdc-eb23-4ce4-b8c6-91ab14061cd5,lennysmarkets,contact_phone,yes
Con Madre Cocina,c55ebc70-5ee0-4acc-8508-e518fadc13ed,conmadrecocina,contact_phone,yes
Cotton’s Place,bed1392d-4e4f-465e-87e9-3ee2f24a6bc6,cottonsplace,contact_phone,yes
Crackin’ Yolks,14be4279-b234-40e9-9a03-9d0ade421440,crackinyolks,contact_phone,yes
Crispy Karma,3269312e-06c5-44f3-89fc-36b046d598e9,crispykarma,contact_phone,yes
Das Good Cafe ,d8d27e83-a9b5-421f-b13b-611a3e316772,dasgoodcafe,contact_phone,yes
DeCheco’s Pizzeria - Fairlawn,c42d8232-2cef-4f34-be9c-1705d4b48393,dechecos-fairlawn,contact_phone,yes
DeCheco’s Pizzeria - Firestone Park,2f1c1e66-cff4-4dff-901c-a5725b243ddc,dechecos-firestonepark,contact_phone,yes
DeCheco’s Pizzeria - Hudson,b62cfd6d-1aa3-4b34-bb99-d0335ae59699,dechecos-hudson,contact_phone,yes
DeCheco’s Pizzeria - Munroe Falls,7138349e-0e35-4062-bc87-559a16483d46,dechecos-munroefalls,contact_phone,yes
DeCheco’s Pizzeria - Springfield / Ellet,3e8a073b-762f-4112-8059-f0af346a8e5f,dechecos-springfield,contact_phone,yes
EggBred - La Habra,6cb10a5c-3b3e-48f6-aa66-a1c2f85ebb66,eggbred-lahabra,contact_phone,yes
EggBred - Land O' Lakes,d00a24ab-1426-4ddc-bafd-14fdae6f9502,eggbred-landolakes,contact_phone,yes
EggBred - San Pablo,0ef4355d-24a2-48e1-a24c-e2cf9829d861,eggbred-sanpablo,contact_phone,yes
Eggstasy - Mesa,ba317e04-b341-4c31-b942-cd411bf8a2bf,eggstasy-mesa,contact_phone,yes
Eggstasy - Norterra Ctr.,f718312a-03fb-4c63-895e-82ec09a8c843,eggstasy-norterra,contact_phone,yes
Eggstasy - Queen Creek,188f682c-0cc4-44b7-a174-561ccecd797b,eggstasy-queencreek,contact_phone,yes
Eggstasy - Scottsdale,49a5fa8d-9ea7-4353-a655-5a903358302e,eggstasy-shea,contact_phone,yes
Eggstasy - The Colony,4ca9a6d4-4840-434c-8447-511a5a06d854,eggstasy-thecolony,contact_phone,yes
El Mercado Mexican Kitchen,be74639e-601d-4832-b794-37b3f22196cf,elmercadomexicankitchen,contact_phone,yes
Fat Boy's Pizza - Covington,66d75927-1cc8-4d00-9d1e-4f625cd2f547,fatboyspizza-covington,contact_phone,yes
Fat Boy's Pizza - Harvey,754705a3-d7da-49db-bc44-a7c3d2905dc0,fatboyspizza-harvey,contact_phone,yes
Fat Boy's Pizza - Metairie,a8902c33-78c4-4c74-bebb-3cff826c646b,fatboyspizza-metairie,contact_phone,yes
Francesca Catering - Elmwood Park,4ba2cb58-cad6-453b-ad0c-ad5bc6a857d9,francescacatering-elmwoodpark,contact_phone,yes
Franco's Italian Restaurant,fedad06c-0720-44fa-be94-02e2553c8d1e,francositalianrestaurant,contact_phone,yes
Genghis Grill - Lake Worth,544f393c-1d4b-4a7d-926b-cd57b820dc89,genghis-grill-lake-worth,contact_phone,yes
Gnocchi on 9th - East Village,dfc2c8e4-03d3-47c4-aad5-4ed5eb7e73da,gnocchion9th-eastvillage,contact_phone,yes
Good&Fantzye,6bfd9d8f-3070-4a17-8051-4d82d4ba0633,goodfantzye,contact_phone,yes
Gracious Bakery & Cafe - Uptown,28aedfe8-fcd7-4d9c-b765-6d3deb47be4f,graciousbakery-uptown,contact_phone,yes
GREGORIO'S TRATTORIA - POTOMAC,f1d05c05-4573-45e7-aedf-3ec63a07b64a,gregoriostrattoriapotomac,contact_phone,yes
GREGORIO'S TRATTORIA - RESTON,863ce24f-55d1-444d-98c1-7235e4dafd31,gregoriostrattoriareston,contact_phone,yes
Happy's Pizza - Belleville,53ce20b9-67af-4808-8d8e-552532745594,happyspizza-belleville,contact_phone,yes
Happy's Pizza - Farmington Hills,87a00dff-9609-41f4-97c1-6b0a4894215f,happyspizza-farmingtonhills,contact_phone,yes
Happy's Pizza - Ypsilanti,9c150d0a-c324-49ed-a9fd-8100d4c19979,happyspizza-ypsilanti,contact_phone,yes
Hatch 44 Cafe - Bradley Beach,78c5d87c-a460-43d7-b9e4-da79dd2a98de,hatch44cafe-bradleybeach,contact_phone,yes
Hatch 44 Cafe - Metuchen,602bc62b-06de-47f8-896a-cad6e951d98a,hatch44cafe-metuchen,contact_phone,yes
Hello Halloumi,7d284d58-c9ab-4279-919b-cedcda27b114,hellohalloumi,contact_phone,yes
Howlin' Willy's - Druid Hills,d8916675-b403-4035-87d8-0f3629f83b99,howlinwillys-druidhills,contact_phone,yes
Howlin' Willy's - Hapeville,fcc7c70d-32b7-41a0-a1c9-f16951f7481d,howlinwillys-hapeville,contact_phone,yes
Hugo's Studio City,ef8ffaf5-6f65-4761-91ce-8b6ca587970f,hugosstudiocity,contact_phone,yes
Hugo's Tacos Atwater Village,a090483e-d22a-4d72-b29c-9b8970676822,hugostacosatwater,contact_phone,yes
Industry - San Marcos,3e00758b-4fc0-43a2-bd3a-77955ba756ab,industrysanmarcos,contact_phone,no
Lechon Loco,f4fe7c19-667a-44de-bd4e-635bb5ad6eca,lechonloco,contact_phone,yes
Leporini's Paninis,1e0ef347-073e-486a-a5a2-fbaa733da606,leporinispaninis,contact_phone,yes
Little Egg,51c8f90a-bf9c-4ea0-8b83-ebcb47a9ead9,littleegg,contact_phone,yes
Local Smoke BBQ - Cookstown,855250be-d3b1-4932-9c72-2f5ffc52e50b,localsmokebbqcookstown,contact_phone,yes
Local Smoke BBQ - Neptune City,f9183a92-57c9-44c3-a9f7-42ed2fd1818b,localsmokebbqneptunecity,contact_phone,yes
Local Smoke BBQ - Red Bank,b56b06c5-4ead-4e68-a26c-6e4ff0f82a23,localsmokebbqredbank,contact_phone,yes
Local Smoke BBQ - Sea Girt,e3494c25-13be-4cf8-aef7-b32b6e88e2c1,localsmokebbqseagirt,contact_phone,yes
Maíz Catering,bf8ad038-1a3f-4075-8fcc-35e40e587b0c,maizcatering,contact_phone,yes
Mekelburg's ,f7fc4e70-57be-4414-8030-c43dda6f444f,mekelburgs,contact_phone,yes
Mile End Delicatessen,2cb91e10-78e8-4cbe-a5a1-1fffba8f5559,mileenddeli,contact_phone,yes
Miss Ada,68cfeaac-4aac-4c1d-ae13-0ae9e29db0c3,missada,contact_phone,yes
Mission Sandwich Social,ccdcf510-7b06-4643-811f-5d9e164ca8ff,missionsandwichsocial,contact_phone,yes
Morning Squeeze,8a7bb6f5-25fd-4672-b75c-e2912620116e,morningsqueeze,contact_phone,yes
Namkeen - Brooklyn,b42dd2c2-2b89-4bca-96b3-91de850113ec,namkeenbrooklyn,contact_phone,yes
North Salem Farmers Market – Fantzye Pre-Orders,a23cf8a3-56ff-4f3b-844c-7881129ebaf6,,contact_phone,yes
One Lev,af6ade2d-de43-4832-8a86-9378af23be87,onelev,contact_phone,yes
Parm Famous Italian - UWS,1c82f522-0c47-440f-a6ce-833e5f57f5af,parmuws,contact_phone,yes
Pete's Bagels - St. Pete,27e20709-bb8f-4a18-8720-1fda18c0f945,petesbagels-stpete,contact_phone,yes
Pete's Bagels - Tarpon Springs,ffe3efd0-c2ff-43a5-98f9-9abfcbbc4b93,petesbagels-tarponsprings,contact_phone,yes
Pixlcat Coffee - Mid Market ,6664c604-c440-4dea-9dee-28a7e8810801,pixlcat-coffee-mid-market,contact_phone,yes
Plant Life Vegan Catering,9adf276b-af85-4069-a040-c0f9f61e40d6,plantlifevegancatering,contact_phone,yes
Purslane x Milk Bar,133fd459-b3b4-4013-a281-c7474516058c,purslanexmilkbar,contact_phone,yes
Railroad BBQ,147599e9-bc77-4b95-9045-8814813495e4,railroadbbq,contact_phone,yes
Rokstar Chicken - Douglaston,b5f529d7-1c42-4f98-98e0-6a2a6edadc91,rokstarchicken,contact_phone,yes
Savvy Sliders - Dallas,d1eb0a1b-a1dd-4b17-924e-2fe2efc60f9f,savvysliders-dallas,contact_phone,yes
Savvy Sliders - Fort Wayne,b956e932-1b35-4c30-ac96-bffd8f8c316f,savvysliders-fortwayne,contact_phone,yes
Savvy Sliders - Fraser,adf5d7c2-cb9d-4c15-9b99-a3fded7d3efc,savvysliders-fraser,contact_phone,yes
Savvy Sliders - Harvey,a9c6d8e2-301f-4341-8aa0-40c3518a3c97,savvysliders-harvey,contact_phone,yes
Savvy Sliders - Metairie,8236e59e-5761-435c-ac7f-19f375c524d7,savvysliders-metairie,contact_phone,yes
Savvy Sliders - Oak Park,6590181f-f914-41bc-ad41-aa105a3889d3,savvysliders-oakpark,contact_phone,yes
Savvy Sliders - Port Huron,fb115bce-a4af-4fa8-a6d6-27f85a72f3b1,savvysliders-porthuron,contact_phone,yes
Savvy Sliders - San Antonio,c634b37e-d2ff-4a8f-94ed-6f34bc51b783,savvysliders-sanantonio,contact_phone,yes
Seymour's,223c0ab5-c34a-4abc-aaae-087ce035c58a,seymours,contact_phone,yes
SmackBird Chicken - Overton,d0d4dca4-b58a-494a-a37a-e759d7023772,smackbirdchicken-overton,contact_phone,yes
SmackBird Chicken - Wylie,cb87b777-d972-473c-91d2-582a4b0bffc3,smackbirdchickenwylie,contact_phone,yes
Smögen Appetizers,57d6ce37-b484-4a11-9e97-04bd03eac7a9,smogenappetizers,contact_phone,yes
Son del North - West Village,2c39c942-d21b-43ec-b086-691760cb290d,sondelnorth-westvillage,contact_phone,yes
Stacks & Cordials - Royal Oak,26ef6512-0581-4b45-8c54-810103284a88,stackscordialsroyaloak,contact_phone,yes
Starvin' Arvin's Catering,7159e4b8-0b6c-45f6-8425-27eb5c744502,starvinarvinscatering,contact_phone,yes
Sunset Squares Pizza - Divisadero ,016b97ee-3ecc-4b51-b560-4be6c9ee3145,sunset-squares-pizza-divisadero,contact_phone,yes
Sunset Squares Pizza - Mid Market,b0ad9693-a97b-450c-a8b5-3ab1306de028,,contact_phone,yes
Sunset Squares Pizza - San Jose,7d0e3526-eb09-4abe-84a3-06f72b0afde3,sunset-squares-pizza-san-jose,contact_phone,yes
Surf Taco - Lacey,d150a80d-e88f-4936-8259-cf5bef0785ae,surftacolacey,contact_phone,yes
Surf Taco - Manasquan,90104ec3-9713-4a1d-bb90-25362266842f,surftacomanasquan,contact_phone,yes
Surf Taco - Point Pleasant,140bbdbb-fd95-4bff-9379-b6926ccb8f50,surftacopointpleasant,contact_phone,yes
Surf Taco - Red Bank,5883ed95-d7c6-4c5a-b0da-a9ab02b6addf,surftacoredbank,contact_phone,yes
Surf Taco - Silverton,c9080d63-d875-4dcf-8216-d34eb46be2c8,surftacosilverton,contact_phone,yes
Surf Taco - Wall,946e86f1-0cf3-4706-b985-4a5c7f75f211,surftacowall,contact_phone,yes
Tap 42 - Boca Raton,c773ab12-2bbc-4678-853b-fa1487aa03d0,tap42-bocaraton,contact_phone,yes
Tap 42 - Coral Gables,a815323a-48b3-4778-963a-9ec351d0608e,tap42-coralgables,contact_phone,yes
Tap 42 - Coral Springs,29a1d258-5273-4746-b55d-3955758a9734,tap42-coralsprings,contact_phone,yes
Tap 42 - Davie,4fdcd7ef-f214-48b5-9cdc-0e3d24ac19ec,tap42-davie,contact_phone,yes
Tap 42 - Doral,8b68cae4-55a5-4f05-9c6f-5383f11d77fc,tap42-doral,contact_phone,yes
Tap 42 - Fort Myers,61a6091b-caf7-42d7-ac32-f176dc7c27c5,tap42-fortmyers,contact_phone,yes
Tap 42 - Ft Lauderdale,57a9e421-686e-4159-ac78-31085420fa21,tap42-ftlauderdale,contact_phone,yes
Tap 42 - Kendall,0568c9cf-2074-4455-8dea-cc16e7858245,tap42-kendall,contact_phone,yes
Tap 42 - Miami,66eb3936-b529-47c7-8b5e-3195a7791d17,tap42-miami,contact_phone,yes
Tap 42 - Naples,7bb4735b-119f-477e-9de6-dbbc79f58d07,tap42-naples,contact_phone,yes
Tap 42 - Palm Beach Gardens,1a22dd6a-4fb3-4803-955e-9efeba2e2251,tap42-palmbeachgardens,contact_phone,yes
Tasty Dawg,17a4f456-b802-473c-a04a-04dcac866286,tastydawg,contact_phone,yes
Tenkatori Sawtelle,f3f3a00b-2fa3-4d86-b31a-e7abf79a7eda,tenkatoriwla,contact_phone,yes
Test Bakery,1fefdbb5-0f50-4aef-b894-53ebb8433941,testbakery,contact_phone,yes
The Biz Catering,73a401e6-2733-4715-9ca9-b2edcb44836f,thebizcatering,contact_phone,yes
The Budlong Southern Chicken - Hayden Hall,688c0c44-3d6e-46bd-9ee4-d3ef2129230c,the-budlong-southern-chicken-hayden-hall,contact_phone,yes
The Commons Chelsea,c6258978-adac-4f41-9b56-f7b6ef379a99,thecommonschelsea,contact_phone,yes
The Tattooed Pig - Aston,c15614db-ceb0-4d1f-9fad-47ac8f73651e,thetattooedpigaston,contact_phone,yes
The Tattooed Pig - Media,91067a15-0173-4541-95dd-deca007b111d,thetattooedpigmedia,contact_phone,yes
Thea Bakery,95fe4ac3-8a2f-45c4-b255-ef4f26b6ec81,thea,contact_phone,yes
Three Dollar Cafe - McDonough,63d96c4d-761a-439f-bf95-9b6043986b6b,threedollarcafe-mcdonough,contact_phone,yes
Tikka Bowls and Tacos - Tapestry Park,344235a6-4996-4181-b24b-1c7d2f7175db,tikkabowlsandtacos-tapestrypark,contact_phone,yes
Tinga Fresh Mexican,994a132d-b35d-427f-b57a-07d0880c85da,tingafreshmexican,contact_phone,yes
Trattoria Moderna Italian Catering,d265cc7c-a251-4015-88ef-d09bf84a9a88,trattoriamodernaitaliancatering,contact_phone,yes
Two Hands - Austin,373d6f1f-6fa5-49fd-9986-cd8b256a983e,twohandsaustin,contact_phone,yes
Two Hands - Dallas,5c27ef9c-9402-49e6-9623-015f2022781c,twohandsdallas,contact_phone,yes
Two Hands - Denver,020beef7-57cf-4d45-82ee-cbb579aabb4c,twohandsdenver,contact_phone,yes
Urban CoalHouse - Brick,3938f480-0b55-4d16-b586-908115553b9c,urbancoalhousebrick,contact_phone,yes
Urban CoalHouse - Hoboken,1d7e9a99-37ed-4986-b19a-5d6ac32e06ed,urbancoalhousehoboken,contact_phone,yes
Utopia Bagels,1acab412-b3e0-44de-91b1-f01cc49bd7f0,utopiabagels,contact_phone,yes
Wax Paper - Frogtown,1c2d6427-1b06-43ef-a109-e251992971c2,waxpaper,contact_phone,yes
Wexler’s Deli,1f95ca73-e487-44ca-bb83-7ebdda7053ac,,contact_phone,yes
Winfield Street Coffee - Croton,5fb5cfce-3f70-43f1-8399-fc2f52a61016,winfieldstreetcoffeecroton,contact_phone,no
Winfield Street Coffee - Naples South,18d74768-f6fd-4e70-a5f5-f2ff8a47fa01,winfieldstreetcoffeenaplessouth,contact_phone,yes
Winfield Street Coffee - New York City,6ce3636c-0b33-40fb-bba9-d05c382d4511,winfieldstreetcoffeenewyorkcity,contact_phone,no
Winfield Street Coffee - Rye,544ca778-96c2-4d6b-bc63-d18c2dd627cf,winfieldstreetcoffeerye,contact_phone,no
Winfield Street Coffee - Stamford,dc5d3f5f-5613-46c3-a110-e909b3c70168,winfieldstreetcoffeestamford,contact_phone,yes
Winfield Street Coffee - Westport,35781c2a-ce41-47a2-abf3-01661022cde9,winfieldstreetcoffeewestport,contact_phone,yes
Wing Dome - Kirkland,4ee31a2c-7eef-4597-9b8c-851021dbb76c,wingdome-kirkland,contact_phone,yes
Woo Woo Burgers - Avery Ranch,e6457d87-5cca-4b17-bb20-6594f1b96c16,,contact_phone,yes
Woo Woo Burgers - Chandler,5f8083e5-c43e-41ea-a037-43204a4a4d69,,contact_phone,yes
Woo Woo Burgers - Kyle,0f1cec77-8975-456e-aea8-0d65304fd3b0,,contact_phone,yes
Woo Woo Burgers - Scottsdale,ee05785a-fa0a-4f4d-a256-c4d36ee0e4db,,contact_phone,yes
xx,2bf0b2c6-5e82-4790-b8a3-7aa03c30fb97,,contact_phone,yes
Yosemite Ranch,7d5aa38b-70d8-4faa-ab3d-18a001587243,yosemiteranch,contact_phone,yes
Z'Tejas - Avery Ranch,5534ff4e-055c-495d-b9e5-a3594018dd1e,,contact_phone,yes
Z'Tejas - Kyle,f52ea650-f2ee-4438-95ad-bd05e9932098,,contact_phone,yes
Z'Tejas - Scottsdale,f150d615-c80d-4a4c-a264-ea1147cb16cb,,contact_phone,yes
Zucker's Bagels,2fd6cf4c-a31c-4ba2-975c-1b9f4279c4e9,zuckersbagels,contact_phone,yes
Zutto - Nolita,780e32c9-33dd-4ee0-829b-ea72a0b8907d,zuttojapaneseamericanpub,contact_phone,yes
